modality	test	OR	ci_lo	ci_hi	p	n	rate	note
PBMC_identity	rate__alpha					343	0.26239067055393583	90/343
PBMC_identity	rate__beta					108	0.32407407407407407	35/108
PBMC_identity	rate__all_ohnolog					629	0.2655007949125596	167/629
PBMC_identity	rate__dispersed_SSD_ref					447	0.19239373601789708	86/447
PBMC_identity	alpha_vs_beta	0.7419536984754376	0.46404212376065485	1.1863045669649526	0.2193992500457787	451		90/343 vs 35/108
PBMC_identity	alpha_vs_rest	1.2826651609260304	0.956799066384742	1.7195145489322938	0.107913646498213	343		90/343 vs 175/806
PBMC_identity	beta_vs_rest	1.6905896366885051	1.1011225916461072	2.59561772809139	0.02196216120303057	108		35/108 vs 230/1041
cytokine_response	rate__alpha					343	0.36151603498542273	124/343
cytokine_response	rate__beta					108	0.37037037037037035	40/108
cytokine_response	rate__all_ohnolog					629	0.36089030206677264	227/629
cytokine_response	rate__dispersed_SSD_ref					447	0.2639821029082774	118/447
cytokine_response	alpha_vs_beta	0.9625570776255707	0.6147405624812057	1.5071660863690042	0.9088299277747227	451		124/343 vs 40/108
cytokine_response	alpha_vs_rest	1.359381923973566	1.0404643750147144	1.776052366233049	0.026304290638415877	343		124/343 vs 237/806
cytokine_response	beta_vs_rest	1.319406267179769	0.8737758997770565	1.9923104978260728	0.19230985862922972	108		40/108 vs 321/1041
