test	OR	ci_lo	ci_hi	p	fdr	note
onevsrest__dispersed_ohnolog	1.6746548049300343	1.3030159255387521	2.152290436907515	5.758465877100444e-05	0.00023033863508401775	n=523, responder_rate=0.375 (196/523 vs 165/626)
onevsrest__clustered_cis_ohnolog	0.8930505050505051	0.5760921626806342	1.384395164933168	0.6614279749963728	0.6614279749963728	n=106, responder_rate=0.292 (31/106 vs 330/1043)
onevsrest__clustered_SSD_tandem	0.5947622679888126	0.3366524913145602	1.050763515938659	0.08947726031979006	0.11930301375972008	n=73, responder_rate=0.219 (16/73 vs 345/1076)
onevsrest__dispersed_SSD	0.6774738264099966	0.5215555561666712	0.8800036353633074	0.003385530910717884	0.006771061821435768	n=447, responder_rate=0.264 (118/447 vs 243/702)
pair__within_clustered__cis_ohnolog_vs_SSD_tandem	1.4725	0.7350905269342154	2.949645207703841	0.303456125855188		31/106 vs 16/73
pair__within_dispersed__ohnolog_vs_SSD	1.6711760742238118	1.269481389761759	2.1999766940909913	0.00025998781540536204		196/523 vs 118/447
pair__within_ohnolog__clustered_vs_dispersed	0.6895918367346939	0.4377666713194059	1.0862793639769	0.12078926425796785		31/106 vs 196/523
pair__within_SSD__clustered_vs_dispersed	0.7826345524829021	0.4325069491884118	1.4162011590553276	0.4724368477269245		16/73 vs 118/447
marginal__ohnolog_vs_SSD	1.6266057770847255	1.2602969828253179	2.0993832327631057	0.0002084704276262335		227/629 vs 134/520
marginal__clustered_vs_dispersed	0.7438718394132406	0.5194657865886886	1.0652199389411863	0.11489940538717491		47/179 vs 314/970
logit__ohnolog	1.6711760742238118	1.2694878028220864	2.1999655804881457	0.0002511075475028409		adjusted OR (provenance x arrangement factorial)
logit__clustered	0.7826345524829024	0.43251166256836915	1.416185725727776	0.4179492713312376		adjusted OR (provenance x arrangement factorial)
logit__ohnolog:clustered	0.881116013274611	0.4174067553575294	1.8599733207095541	0.7398708424008761		adjusted OR (provenance x arrangement factorial)
